"name","schemaA","schemaB","schema_relation","relationship_template","organization","lastmodifiedby","alias","lastmodifieddate"
"ChildConfigItem","ConfigItemRelation","ConfigItem","{""pCol"":[""ChildId""],""cCol"":[""Id""]}","NULL","leo1311","admin","ChildConfigItem","2023-08-28T11:42:29.732"
"ParentConfigItem","ConfigItem","ConfigItemRelation","{""pCol"":[""Id""],""cCol"":[""ParentId""]}","NULL","leo1311","admin","ParentConfigItem","2023-08-28T11:44:50.498"
"ConfigItemTicket","ConfigItem","Tickets","{""pCol"":[""Id""],""cCol"":[""SysId""]}","NULL","leo1311","admin","ConfigItemTicket","2023-08-28T12:25:54.121"
