"id","answer_text","question_id","questionnaire_instance_id","user_id","comment"
"385","NULL","1452","231","NULL","NULL"
"386","NULL","1453","231","NULL","NULL"
"387","NULL","1454","231","NULL","NULL"
"388","NULL","1478","231","NULL","NULL"
"389","NULL","1479","231","NULL","NULL"
"390","NULL","1480","231","NULL","NULL"
"391","NULL","1481","231","NULL","NULL"
"392","NULL","1482","231","NULL","NULL"
"393","NULL","1483","231","NULL","NULL"
"394","NULL","1484","231","NULL","NULL"
"395","NULL","1485","231","NULL","NULL"
"396","NULL","1487","231","NULL","NULL"
"397","NULL","1488","231","NULL","NULL"
"398","80","1904","231","NULL","NULL"
"399","NULL","1489","231","NULL","NULL"
"400","NULL","1905","231","NULL","NULL"
"401","NULL","1490","231","NULL","NULL"
"402","NULL","1906","231","NULL","NULL"
"403","70","1491","231","NULL","NULL"
"404","NULL","1492","231","NULL","NULL"
"405","NULL","1493","231","NULL","NULL"
"406","NULL","1494","231","NULL","NULL"
"407","NULL","1495","231","NULL","NULL"
"408","NULL","1496","231","NULL","NULL"
"409","NULL","1497","231","NULL","NULL"
"410","NULL","1498","231","NULL","NULL"
"411","NULL","1499","231","NULL","NULL"
"412","NULL","1500","231","NULL","NULL"
"413","NULL","1501","231","NULL","NULL"
"414","NULL","1502","231","NULL","NULL"
"415","NULL","1503","231","NULL","NULL"
"416","NULL","1504","231","NULL","NULL"
"417","NULL","1505","231","NULL","NULL"
"418","NULL","1506","231","NULL","NULL"
"419","80","1507","231","NULL","NULL"
"420","NULL","1508","231","NULL","NULL"
"421","80","1509","231","NULL","NULL"
"422","NULL","1510","231","NULL","NULL"
"423","NULL","1827","231","NULL","NULL"
"424","NULL","1461","231","NULL","NULL"
"425","NULL","1462","231","NULL","NULL"
"426","100","1463","231","NULL","NULL"
"427","NULL","1464","231","NULL","NULL"
"428","NULL","1465","231","NULL","NULL"
"429","NULL","1466","231","NULL","NULL"
"430","NULL","1467","231","NULL","NULL"
"431","NULL","1468","231","NULL","NULL"
"432","NULL","1469","231","NULL","NULL"
"433","80","1470","231","NULL","NULL"
"434","NULL","1471","231","NULL","NULL"
"435","NULL","1472","231","NULL","NULL"
"436","NULL","1473","231","NULL","NULL"
"437","NULL","1474","231","NULL","NULL"
"438","NULL","1405","230","NULL","NULL"
"439","NULL","1406","230","NULL","NULL"
"440","NULL","920","228","NULL","NULL"
"441","NULL","921","228","NULL","NULL"
"69700","NULL","3887","238","NULL","NULL"
"69701","NULL","3888","238","NULL","NULL"
"69702","NULL","3889","238","NULL","NULL"
"69703","NULL","3890","238","NULL","NULL"
"69704","NULL","3891","238","NULL","NULL"
"69705","NULL","3892","238","NULL","NULL"
"69706","NULL","3893","238","NULL","NULL"
"69707","NULL","3894","238","NULL","NULL"
"69708","NULL","3895","238","NULL","NULL"
"69709","NULL","3896","238","NULL","NULL"
"69710","NULL","3897","238","NULL","NULL"
"69712","NULL","3899","238","NULL","NULL"
"69713","NULL","3900","238","NULL","NULL"
"69714","NULL","3901","238","NULL","NULL"
"69715","NULL","3902","238","NULL","NULL"
"69716","NULL","3903","238","NULL","NULL"
"69717","NULL","3904","238","NULL","NULL"
"69718","NULL","3905","238","NULL","NULL"
"69766","NULL","3942","238","NULL","NULL"
"69772","NULL","3939","238","NULL","NULL"
"69773","NULL","3940","238","NULL","NULL"
"69775","NULL","3938","238","NULL","NULL"
"69776","NULL","3898","238","NULL","NULL"
"69779","NULL","3944","238","NULL","NULL"
"69780","NULL","3941","238","NULL","NULL"
"69781","NULL","3943","238","NULL","NULL"
"69782","NULL","3945","238","NULL","NULL"
"69783","NULL","3139","243","NULL","NULL"
"69784","NULL","3140","243","NULL","NULL"
"69785","NULL","3141","243","NULL","NULL"
"69786","NULL","3142","243","NULL","NULL"
"69787","NULL","3143","243","NULL","NULL"
"69788","NULL","3144","243","NULL","NULL"
"69789","NULL","3147","243","NULL","NULL"
"69790","NULL","3148","243","NULL","NULL"
"69791","NULL","3149","243","NULL","NULL"
"69792","NULL","3152","243","NULL","NULL"
"69793","NULL","3153","243","NULL","NULL"
"69794","NULL","3154","243","NULL","NULL"
"69795","NULL","3160","243","NULL","NULL"
"69796","NULL","3161","243","NULL","NULL"
"69797","NULL","3162","243","NULL","NULL"
"69798","NULL","3163","243","NULL","NULL"
"69799","NULL","3164","243","NULL","NULL"
"69800","NULL","3165","243","NULL","NULL"
"69801","NULL","3168","243","NULL","NULL"
"69802","NULL","3169","243","NULL","NULL"
"69803","NULL","3171","243","NULL","NULL"
"69804","NULL","3175","243","NULL","NULL"
"69805","NULL","3186","243","NULL","NULL"
"69806","NULL","3187","243","NULL","NULL"
"69807","NULL","3191","243","NULL","NULL"
"69808","NULL","3192","243","NULL","NULL"
