id,metric_id,dimension_id,metric_weightage,usm_project_id,baseline_value,priority,business_impact
915,1017,3321,100,69,NULL,NULL,NULL
916,1018,3321,100,69,NULL,NULL,NULL
917,1019,3322,100,69,NULL,NULL,NULL
918,1020,3322,100,69,NULL,NULL,NULL
919,1021,3322,100,69,NULL,NULL,NULL
921,1023,3323,100,69,NULL,NULL,NULL
922,1024,3325,100,69,NULL,NULL,NULL
923,1025,3325,100,69,NULL,NULL,NULL
924,1026,3325,100,69,NULL,NULL,NULL
925,1027,3326,100,69,NULL,NULL,NULL
926,1028,3327,100,69,NULL,NULL,NULL
927,1029,3327,100,69,NULL,NULL,NULL
928,1030,3327,100,69,NULL,NULL,NULL
929,1031,3327,100,69,NULL,NULL,NULL
930,1032,3328,100,69,NULL,NULL,NULL
931,1033,3330,100,69,NULL,NULL,NULL
932,1034,3330,100,69,NULL,NULL,NULL
933,1035,3331,100,69,NULL,NULL,NULL
934,1036,3332,100,69,NULL,NULL,NULL
935,1037,3333,100,69,NULL,NULL,NULL
936,1038,3334,100,69,NULL,NULL,NULL
937,1039,3335,100,69,NULL,NULL,NULL
938,1040,3336,100,69,NULL,NULL,NULL
939,1041,3336,100,69,NULL,NULL,NULL
940,1042,3336,100,69,NULL,NULL,NULL
941,1043,3336,100,69,NULL,NULL,NULL
942,1044,3336,100,69,NULL,NULL,NULL
943,1045,3336,100,69,NULL,NULL,NULL
944,1046,3336,100,69,NULL,NULL,NULL
945,1047,3336,100,69,NULL,NULL,NULL
946,1048,3336,100,69,NULL,NULL,NULL
947,1049,3336,100,69,NULL,NULL,NULL
948,1050,3336,100,69,NULL,NULL,NULL
949,1051,3336,100,69,NULL,NULL,NULL
950,1052,3336,100,69,NULL,NULL,NULL
951,1053,3336,100,69,NULL,NULL,NULL
952,1054,3337,100,69,NULL,NULL,NULL
953,1055,3337,100,69,NULL,NULL,NULL
954,1056,3337,100,69,NULL,NULL,NULL
955,1057,3337,100,69,NULL,NULL,NULL
956,1058,3337,100,69,NULL,NULL,NULL
957,1059,3337,100,69,NULL,NULL,NULL
958,1060,3337,100,69,NULL,NULL,NULL
959,1061,3337,100,69,NULL,NULL,NULL
960,1062,3337,100,69,NULL,NULL,NULL
961,1063,3337,100,69,NULL,NULL,NULL
962,1064,3337,100,69,NULL,NULL,NULL
963,1065,3337,100,69,NULL,NULL,NULL
964,1066,3337,100,69,NULL,NULL,NULL
965,1067,3338,100,69,NULL,NULL,NULL
966,1068,3338,100,69,NULL,NULL,NULL
967,1069,3339,100,69,NULL,NULL,NULL
968,1070,3339,100,69,NULL,NULL,NULL
969,1071,3340,100,69,NULL,NULL,NULL
972,NULL,3343,100,69,NULL,NULL,NULL
973,NULL,3344,100,69,NULL,NULL,NULL
974,NULL,3345,100,69,NULL,NULL,NULL
975,NULL,3346,100,69,NULL,NULL,NULL
976,NULL,3347,100,69,NULL,NULL,NULL
977,NULL,3348,100,69,NULL,NULL,NULL
1106,1155,3432,100,62,NULL,NULL,NULL
1107,1155,3432,100,58,NULL,NULL,NULL
1108,1155,3432,100,49,NULL,NULL,NULL
1109,1155,3432,100,39,NULL,NULL,NULL
1110,1155,3432,100,652,NULL,NULL,NULL
1175,1217,3336,100,69,NULL,NULL,NULL
1176,1218,3336,100,69,NULL,NULL,NULL
1678,NULL,3711,50,580,NULL,NULL,NULL
1679,1507,3711,50,580,NULL,NULL,NULL
1680,NULL,3712,33.33333,580,NULL,NULL,NULL
1681,1508,3712,33.33333,580,NULL,NULL,NULL
1682,1509,3712,33.33333,580,NULL,NULL,NULL
1683,NULL,3713,33.33333,580,NULL,NULL,NULL
1684,1510,3713,33.33333,580,NULL,NULL,NULL
1685,1511,3713,33.33333,580,NULL,NULL,NULL
1686,NULL,3715,16.666,580,NULL,NULL,NULL
1687,1512,3715,16.666,580,NULL,NULL,NULL
1688,1513,3715,16.666,580,NULL,NULL,NULL
1689,1514,3715,16.666,580,NULL,NULL,NULL
1690,1515,3715,16.666,580,NULL,NULL,NULL
1691,1516,3715,16.666,580,NULL,NULL,NULL
1692,NULL,3716,33.3333,580,NULL,NULL,NULL
1693,1517,3716,33.3333,580,NULL,NULL,NULL
1694,1518,3716,33.3333,580,NULL,NULL,NULL
1695,NULL,3717,20,580,NULL,NULL,NULL
1696,1519,3717,20,580,NULL,NULL,NULL
1697,1520,3717,20,580,NULL,NULL,NULL
1698,1521,3717,20,580,NULL,NULL,NULL
1699,1522,3717,20,580,NULL,NULL,NULL
1700,NULL,3718,10,580,NULL,NULL,NULL
1701,1523,3718,10,580,NULL,NULL,NULL
1702,1524,3718,10,580,NULL,NULL,NULL
1703,1525,3718,10,580,NULL,NULL,NULL
1704,1526,3718,10,580,NULL,NULL,NULL
1705,1527,3718,10,580,NULL,NULL,NULL
1706,1528,3718,10,580,NULL,NULL,NULL
1707,1529,3718,10,580,NULL,NULL,NULL
1708,1530,3718,10,580,NULL,NULL,NULL
1709,1531,3718,10,580,NULL,NULL,NULL
1710,1532,3719,20,580,NULL,NULL,NULL
1711,NULL,3719,20,580,NULL,NULL,NULL
1712,1533,3719,20,580,NULL,NULL,NULL
1713,1534,3719,20,580,NULL,NULL,NULL
1714,1535,3719,20,580,NULL,NULL,NULL
1715,NULL,3721,20,580,NULL,NULL,NULL
1716,1536,3721,20,580,NULL,NULL,NULL
1717,1537,3721,20,580,NULL,NULL,NULL
1718,1538,3721,20,580,NULL,NULL,NULL
1719,1539,3721,20,580,NULL,NULL,NULL
1720,NULL,3722,25,580,NULL,NULL,NULL
1721,1540,3722,25,580,NULL,NULL,NULL
1722,1541,3722,25,580,NULL,NULL,NULL
1723,1542,3722,25,580,NULL,NULL,NULL
1724,NULL,3723,14.2857,580,NULL,NULL,NULL
1725,1543,3723,14.2857,580,NULL,NULL,NULL
1726,1544,3723,14.2857,580,NULL,NULL,NULL
1727,1545,3723,14.2857,580,NULL,NULL,NULL
1728,1546,3723,14.2857,580,NULL,NULL,NULL
1729,1547,3723,14.2857,580,NULL,NULL,NULL
1730,1548,3723,14.2857,580,NULL,NULL,NULL
1731,NULL,3724,50,580,NULL,NULL,NULL
1732,1549,3724,50,580,NULL,NULL,NULL
1733,NULL,3726,50,580,NULL,NULL,NULL
1734,NULL,3727,50,580,NULL,NULL,NULL
1735,1550,3727,50,580,NULL,NULL,NULL
1736,1551,3728,33.3333,580,NULL,NULL,NULL
1737,NULL,3728,33.3333,580,NULL,NULL,NULL
1738,1552,3726,50,580,NULL,NULL,NULL
1739,1553,3728,33.3333,580,NULL,NULL,NULL
1740,1554,3729,100,580,NULL,NULL,NULL
1741,NULL,3729,50,580,NULL,NULL,NULL
1742,NULL,3730,100,580,NULL,NULL,NULL
1743,NULL,3731,100,580,NULL,NULL,NULL
1783,1509,3712,50,580,NULL,NULL,NULL
1784,1521,3717,10,580,NULL,NULL,NULL
1785,1522,3717,10,580,NULL,NULL,NULL
1786,1528,3718,5,580,NULL,NULL,NULL
1787,1529,3718,5,580,NULL,NULL,NULL
1788,1530,3718,5,580,NULL,NULL,NULL
1789,1531,3718,5,580,NULL,NULL,NULL
1790,1536,3721,10,580,NULL,NULL,NULL
1791,1537,3721,10,580,NULL,NULL,NULL
1792,1538,3721,10,580,NULL,NULL,NULL
1793,1539,3721,5,580,NULL,NULL,NULL
1794,1542,3722,5,580,NULL,NULL,NULL
1795,1555,3733,33.3333333,686,NULL,NULL,NULL
1796,1556,3733,33.3333333,686,NULL,NULL,NULL
1797,1557,3733,33.3333333,686,NULL,NULL,NULL
1798,1558,3734,33.3333333,686,NULL,NULL,NULL
1799,1559,3734,33.3333333,686,NULL,NULL,NULL
1800,1560,3734,33.3333333,686,NULL,NULL,NULL
1801,1561,3735,33.3333333,686,NULL,NULL,NULL
1802,1562,3735,33.3333333,686,NULL,NULL,NULL
1803,1563,3735,33.3333333,686,NULL,NULL,NULL
1804,1564,3736,33.3333333,686,NULL,NULL,NULL
1805,1565,3736,33.3333333,686,NULL,NULL,NULL
1806,1566,3736,33.3333333,686,NULL,NULL,NULL
1807,1567,3737,33.3333333,686,NULL,NULL,NULL
1808,1568,3737,33.3333333,686,NULL,NULL,NULL
1809,1569,3737,33.3333333,686,NULL,NULL,NULL
2005,NULL,3711,50,688,NULL,NULL,NULL
2006,1507,3711,50,688,NULL,NULL,NULL
2007,NULL,3712,33.33333,688,NULL,NULL,NULL
2008,1508,3712,33.33333,688,NULL,NULL,NULL
2009,1509,3712,33.33333,688,NULL,NULL,NULL
2010,1509,3712,50,688,NULL,NULL,NULL
2011,NULL,3713,33.33333,688,NULL,NULL,NULL
2012,1510,3713,33.33333,688,NULL,NULL,NULL
2013,1511,3713,33.33333,688,NULL,NULL,NULL
2014,NULL,3715,16.666,688,NULL,NULL,NULL
2015,1512,3715,16.666,688,NULL,NULL,NULL
2016,1513,3715,16.666,688,NULL,NULL,NULL
2017,1514,3715,16.666,688,NULL,NULL,NULL
2018,1515,3715,16.666,688,NULL,NULL,NULL
2019,1516,3715,16.666,688,NULL,NULL,NULL
2020,NULL,3716,33.3333,688,NULL,NULL,NULL
2021,1517,3716,33.3333,688,NULL,NULL,NULL
2022,1518,3716,33.3333,688,NULL,NULL,NULL
2023,NULL,3717,20,688,NULL,NULL,NULL
2024,1519,3717,20,688,NULL,NULL,NULL
2025,1520,3717,20,688,NULL,NULL,NULL
2026,1521,3717,20,688,NULL,NULL,NULL
2027,1522,3717,20,688,NULL,NULL,NULL
2028,1521,3717,10,688,NULL,NULL,NULL
2029,1522,3717,10,688,NULL,NULL,NULL
2030,NULL,3718,10,688,NULL,NULL,NULL
2031,1523,3718,10,688,NULL,NULL,NULL
2032,1524,3718,10,688,NULL,NULL,NULL
2033,1525,3718,10,688,NULL,NULL,NULL
2034,1526,3718,10,688,NULL,NULL,NULL
2035,1527,3718,10,688,NULL,NULL,NULL
2036,1528,3718,10,688,NULL,NULL,NULL
2037,1529,3718,10,688,NULL,NULL,NULL
2038,1530,3718,10,688,NULL,NULL,NULL
2039,1531,3718,10,688,NULL,NULL,NULL
2040,1528,3718,5,688,NULL,NULL,NULL
2041,1529,3718,5,688,NULL,NULL,NULL
2042,1530,3718,5,688,NULL,NULL,NULL
2043,1531,3718,5,688,NULL,NULL,NULL
2044,1532,3719,20,688,NULL,NULL,NULL
2045,NULL,3719,20,688,NULL,NULL,NULL
2046,1533,3719,20,688,NULL,NULL,NULL
2047,1534,3719,20,688,NULL,NULL,NULL
2048,1535,3719,20,688,NULL,NULL,NULL
2049,NULL,3721,20,688,NULL,NULL,NULL
2050,1536,3721,20,688,NULL,NULL,NULL
2051,1537,3721,20,688,NULL,NULL,NULL
2052,1538,3721,20,688,NULL,NULL,NULL
2053,1539,3721,20,688,NULL,NULL,NULL
2054,1536,3721,10,688,NULL,NULL,NULL
2055,1537,3721,10,688,NULL,NULL,NULL
2056,1538,3721,10,688,NULL,NULL,NULL
2057,1539,3721,5,688,NULL,NULL,NULL
2058,NULL,3722,25,688,NULL,NULL,NULL
2059,1540,3722,25,688,NULL,NULL,NULL
2060,1541,3722,25,688,NULL,NULL,NULL
2061,1542,3722,25,688,NULL,NULL,NULL
2062,1542,3722,5,688,NULL,NULL,NULL
2063,NULL,3723,14.2857,688,NULL,NULL,NULL
2064,1543,3723,14.2857,688,NULL,NULL,NULL
2065,1544,3723,14.2857,688,NULL,NULL,NULL
2066,1545,3723,14.2857,688,NULL,NULL,NULL
2067,1546,3723,14.2857,688,NULL,NULL,NULL
2068,1547,3723,14.2857,688,NULL,NULL,NULL
2069,1548,3723,14.2857,688,NULL,NULL,NULL
2070,NULL,3724,50,688,NULL,NULL,NULL
2071,1549,3724,50,688,NULL,NULL,NULL
2072,NULL,3726,50,688,NULL,NULL,NULL
2073,1552,3726,50,688,NULL,NULL,NULL
2074,NULL,3727,50,688,NULL,NULL,NULL
2075,1550,3727,50,688,NULL,NULL,NULL
2076,1551,3728,33.3333,688,NULL,NULL,NULL
2077,NULL,3728,33.3333,688,NULL,NULL,NULL
2078,1553,3728,33.3333,688,NULL,NULL,NULL
2079,1554,3729,100,688,NULL,NULL,NULL
2080,NULL,3729,50,688,NULL,NULL,NULL
2081,NULL,3730,100,688,NULL,NULL,NULL
2082,NULL,3731,100,688,NULL,NULL,NULL
2196,3736,3845,100,691,NULL,NULL,NULL
2197,3737,3846,100,691,NULL,NULL,NULL
2198,3738,3846,100,691,NULL,NULL,NULL
2199,3739,3848,100,691,NULL,NULL,NULL
2200,3740,3848,100,691,NULL,NULL,NULL
2201,3741,3850,100,691,NULL,NULL,NULL
2202,3742,3851,100,691,NULL,NULL,NULL
2203,3743,3853,100,691,NULL,NULL,NULL
2204,3744,3854,100,691,NULL,NULL,NULL
2205,3745,3855,100,691,NULL,NULL,NULL
2206,3746,3856,100,691,NULL,NULL,NULL
2207,3747,3857,100,691,NULL,NULL,NULL
2208,3748,3859,100,691,NULL,NULL,NULL
2209,3749,3860,100,691,NULL,NULL,NULL
2210,3750,3860,100,691,NULL,NULL,NULL
2211,3751,3860,100,691,NULL,NULL,NULL
2212,3753,3845,100,691,NULL,NULL,NULL
2213,3754,3845,100,691,NULL,NULL,NULL
2214,3755,3845,100,691,NULL,NULL,NULL
2223,3756,3854,100,691,NULL,NULL,NULL
2224,3757,3854,0,691,NULL,NULL,NULL
2225,3758,3854,0,691,NULL,NULL,NULL
2226,3759,3854,0,691,NULL,NULL,NULL
2227,3760,3854,0,691,NULL,NULL,NULL
2228,3761,3854,0,691,NULL,NULL,NULL
2229,3762,3854,0,691,NULL,NULL,NULL
2230,3763,3854,0,691,NULL,NULL,NULL
