"id","project_id","created_by","created_on","is_deleted","modified_by","modified_on","palette_name","organisation"
"1","2","system","2021-04-08T00:00:00","false","system","2021-04-08T00:00:00","NewPallet","NULL"
"2","2","system","2021-04-11T00:00:00","false","system","2021-04-11T00:00:00","GreenPallete","NULL"
