id,project_id,color_type,colour,dataset_name,datasource_name,y_axis,chart_type,widget_id
1034,2,palette,NULL,test_Support_Indepen_target,essedummaster,0,1,967
1035,2,fixed,#7B39B1,test_Support_Indepen_res_per,essedummaster,0,1,967
1036,2,palette,NULL,test_Support_total_inflow,essedummaster,0,3,968
1037,2,fixed,#7B39B1,test_Support_assigned_to_infosys,essedummaster,0,3,968
1038,2,fixed,#7B39B1,supportSecClusterchart,essedummaster,0,3,969
1039,2,fixed,#7B39B1,SecSupportClusterTable,essedummaster,NULL,12,970
1040,2,fixed,#7B39B1,PriSupportClusterTable,essedummaster,NULL,12,971
1041,2,fixed,#7B39B1,supportPriClusterchart,essedummaster,0,3,972
1042,2,fixed,#7B39B1,Support_InflowTarget_dd_chart,essedummaster,0,3,973
1043,2,fixed,#7B39B1,Support_InflowTarget_dd_table,essedummaster,0,12,974
1044,2,fixed,#7B39B1,Support_IndepTarget_dd_chart,essedummaster,0,3,975
1045,2,fixed,#7B39B1,Support_IndepTarget_dd_table,essedummaster,0,12,976

1046,2,fixed,#7B39B1,workflow_count,essedummaster,NULL,NULL,977
1047,2,fixed,#7B39B1,bots_count,essedummaster,NULL,NULL,978
1048,2,fixed,#7B39B1,cases_count,essedummaster,NULL,NULL,979
1049,2,fixed,#7B39B1,node_count,essedummaster,NULL,NULL,980
1050,2,fixed,#7B39B1,bots_count,essedummaster,NULL,NULL,981
1051,2,palette,NULL,cases by status,essedummaster,0,19,982
1052,2,palette,NULL,cases by bots,essedummaster,0,19,983
1057,2,fixed,#7B39B1,cases by source,essedummaster,NULL,NULL,985
1058,2,palette,NULL,SLA overall,essedummaster,0,6,986
1059,2,fixed,#7B39B1,SLA by priority,essedummaster,NULL,NULL,987
1060,2,fixed,#7B39B1,SLA by category,essedummaster,NULL,NULL,988
1061,2,fixed,#7B39B1,Least used bot,essedummaster,NULL,NULL,989
1062,2,fixed,#7B39B1,Least used node,essedummaster,NULL,NULL,990
1063,2,fixed,#7B39B1,Least used tool,essedummaster,NULL,NULL,991
1064,2,fixed,#7B39B1,Least used workflow,essedummaster,NULL,NULL,992
1065,2,palette,NULL,fastest workflows,essedummaster,0,19,993
1066,2,palette,NULL,slowest workflows,essedummaster,0,19,994
1067,2,palette,NULL,most executed workflows,essedummaster,0,19,995
1068,2,palette,NULL,least executed workflows,essedummaster,0,19,996
1069,2,palette,NULL,workflow_types,essedummaster,0,13,997
1070,2,palette,NULL,incident_by_tool,essedummaster,0,1,998
1071,2,palette,NULL,Day for AcmeBot,essedummaster,0,19,999
1072,2,palette,NULL,Day for ICASbot,essedummaster,0,19,1000
1073,2,palette,NULL,Day for TestBot,essedummaster,0,19,1001
1074,2,palette,NULL,Day for TestBot2,essedummaster,0,19,1002
1075,2,palette,NULL,Weekly for AcmeBot,essedummaster,0,19,1003
