"id","eventId","displayId","title","eventType","impactLevel","severityLevel","status","rootCauseEntity","relatedEvents","startTime","endTime","lastUpdated","lastCreated","apmType","deepLinkUrl","incidentId","project_id"
"48","-2258805334838033618_1647970020000V2","P-220361","Failed database connects","Issue","SERVICES","ERROR","CLOSED","SERVICE-CB9B6B15E89A91A3","(NULL)","1663867920000","1663869060000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=-2258805334838033618_1647970020000V2","NULL","2"
"56","6869712008274066269_1647512040000V2","P-220353","Request error rate increase","Issue","APPLICATION","ERROR","CLOSED","APPLICATION-EA7C4B59F27D43EB","(NULL)","1663409820000","1663410300000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=6869712008274066269_1647512040000V2","NULL","2"
"57","4878851372144842763_1647511380000V2","P-220352","Network problem","Issue","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP-9A593B1AD870744E","(NULL)","1663409280000","1663409280000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=4878851372144842763_1647511380000V2","NULL","2"
"61","-255475453139541332_1647479700000V2","P-220348","Network problem","Issue","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP-9A593B1AD870744E","(NULL)","1663377600000","1663377600000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=-255475453139541332_1647479700000V2","NULL","2"
"65","3407198761779029607_1647313380000V2","P-220344","Memory saturation","Issue","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","(NULL)","1663211280000","1663211460000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=3407198761779029607_1647313380000V2","NULL","2"
"70","3103551884516628670_1647241500000V2","P-220340","Memory saturation","Issue","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","(NULL)","1663139400000","1663141920000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=3103551884516628670_1647241500000V2","NULL","2"
"74","-4590994821376861381_1647214740000V2","P-220335","Custom error rate increase","Issue","APPLICATION","ERROR","CLOSED","APPLICATION-EA7C4B59F27D43EB","(NULL)","1663112640000","1663113000000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=-4590994821376861381_1647214740000V2","NULL","2"
"85","5229093543988196442_1646958360000V2","P-220324","Custom error rate increase","Issue","APPLICATION","ERROR","CLOSED","APPLICATION-EA7C4B59F27D43EB","(NULL)","1662856200000","1662857220000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=5229093543988196442_1646958360000V2","NULL","2"
"88","-8380962338316355317_1646938980000V2","P-220321","Custom error rate increase","Issue","APPLICATION","ERROR","CLOSED","APPLICATION-EA7C4B59F27D43EB","(NULL)","1662836880000","1662837360000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=-8380962338316355317_1646938980000V2","NULL","2"
"89","-5857355144073091940_1646924760000V2","P-220320","Custom error rate increase","Issue","APPLICATION","ERROR","CLOSED","APPLICATION-EA7C4B59F27D43EB","(NULL)","1662822660000","1662823020000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=-5857355144073091940_1646924760000V2","NULL","2"
"90","-7219955807142602995_1646922360000V2","P-220319","Memory saturation","Issue","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","(NULL)","1662820260000","1662821700000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=-7219955807142602995_1646922360000V2","NULL","2"
"92","4735199716927806481_1646919060000V2","P-220318","Custom error rate increase","Issue","APPLICATION","ERROR","CLOSED","APPLICATION-EA7C4B59F27D43EB","(NULL)","1662816840000","1662817140000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=4735199716927806481_1646919060000V2","NULL","2"
"93","6695025232870333960_1646918460000V2","P-220316","Custom error rate increase","Issue","APPLICATION","ERROR","CLOSED","SERVICE-0FDA745EC1FA5E14","(NULL)","1662816360000","1662816600000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=6695025232870333960_1646918460000V2","NULL","2"
"97","-176992981435148536_1646913180000V2","P-220312","CPU saturation","Issue","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","(NULL)","1668060171000","1668080219000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=-176992981435148536_1646913180000V2","INC0037158","2"
"100","-2209246862848352453_1646803109799V2","P-22039","Host or monitoring unavailable","Issue","INFRASTRUCTURE","AVAILABILITY","CLOSED","HOST-3C12499C638B290B","(NULL)","1662700709799.000000","1662701045661.000000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=-2209246862848352453_1646803109799V2","NULL","2"
"111","636155200408250329_1646065920000V2","P-2202121","Memory saturation","Issue","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-E157615BDEE56704","(NULL)","1661704620000","1661706420000","NULL","NULL","DT","https://infyapm.tools.infosysapps.com/e/30793cbf-0497-4c47-9e48-b0bd20326894/#problems/problemdetails;gf=all;pid=636155200408250329_1646065920000V2","NULL","2"
"127","-448741206007747000","NULL","MEMORY_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1664349060000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"128","7171949904187016526","NULL","MEMORY_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1664347080000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"129","-6074936395270721584","NULL","HIGH_NETWORK_LOSS_RATE","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-FB8D8F517D1DAA1E","NULL","1664346900000","1664347200000","NULL","NULL","DT","NULL","NULL","2"
"130","5995969608017666904","NULL","MEMORY_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1664344860000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"131","1609725383408077204","NULL","MEMORY_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1664344080000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"132","556768799167369860","NULL","MEMORY_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1664342880000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"133","-6854251277227307477","NULL","MEMORY_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1664340420000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"134","1368530442119799463","NULL","MEMORY_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1664338860000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"135","-39810396385435818","NULL","MEMORY_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1664337180000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"137","-1046065456328924872","NULL","MEMORY_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1664333700000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"138","4391659444109315543","NULL","MEMORY_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1664330280000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"139","-185944408449938061","NULL","MEMORY_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1664328600000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"210","-6900708620842770614","NULL","FAILURE_RATE_INCREASED","Alert","SERVICE","ERROR","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664191020000","1664192640000","NULL","NULL","DT","NULL","NULL","2"
"215","8025931743255599285","NULL","FAILURE_RATE_INCREASED","Alert","SERVICE","ERROR","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664180580000","1664181960000","NULL","NULL","DT","NULL","NULL","2"
"219","8288729225759266077","NULL","FAILURE_RATE_INCREASED","Alert","SERVICE","ERROR","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664174160000","1664175000000","NULL","NULL","DT","NULL","NULL","2"
"257","6221374747048879148","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664105280000","1664106060000","NULL","NULL","DT","NULL","NULL","2"
"259","5177624766458031213","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664104920000","1664106120000","NULL","NULL","DT","NULL","NULL","2"
"260","7559738322917926076","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664104860000","1664105520000","NULL","NULL","DT","NULL","NULL","2"
"261","-1810056011033881169","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664104800000","1664106060000","NULL","NULL","DT","NULL","NULL","2"
"262","1801177100531432415","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664104680000","1664105340000","NULL","NULL","DT","NULL","NULL","2"
"263","-4810878560162170255","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664104620000","1664105280000","NULL","NULL","DT","NULL","NULL","2"
"268","-2641299248753238710","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664103360000","1664103960000","NULL","NULL","DT","NULL","NULL","2"
"269","2768175411669972691","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664103300000","1664103900000","NULL","NULL","DT","NULL","NULL","2"
"270","5081749616133546341","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664103300000","1664103900000","NULL","NULL","DT","NULL","NULL","2"
"271","4944866412704128812","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664103240000","1664103900000","NULL","NULL","DT","NULL","NULL","2"
"272","-1458552372887333003","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664103120000","1664103960000","NULL","NULL","DT","NULL","NULL","2"
"273","-9081151357234617515","NULL","SERVICE_RESPONSE_TIME_DEGRADED","Alert","SERVICE","PERFORMANCE","CLOSED","SERVICE-7702481E92F0CEFE","NULL","1664103120000","1664103960000","NULL","NULL","DT","NULL","NULL","2"
"392","4878851372144842763","NULL","HIGH_NETWORK_LOSS_RATE","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-9ECD01819241FF48","NULL","1663408980000","1663409220000","NULL","NULL","DT","NULL","NULL","2"
"394","-255475453139541332","NULL","HIGH_NETWORK_LOSS_RATE","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-9ECD01819241FF48","NULL","1663377300000","1663377600000","NULL","NULL","DT","NULL","NULL","2"
"395","-8381793413516935336","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-83B3F0C71E02C107","NULL","1663313700000","1663314000000","NULL","NULL","DT","NULL","NULL","2"
"422","5071109451609092034","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-83B3F0C71E02C107","NULL","1663170540000","1663170840000","NULL","NULL","DT","NULL","NULL","2"
"425","8064346852849280072","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-59BD4C1566F76813","NULL","1663155840000","1663156260000","NULL","NULL","DT","NULL","NULL","2"
"430","1514793158390801086","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-83B3F0C71E02C107","NULL","1663139220000","1663139520000","NULL","NULL","DT","NULL","NULL","2"
"456","-5875789900178983134","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-83B3F0C71E02C107","NULL","1663062480000","1663062780000","NULL","NULL","DT","NULL","NULL","2"
"481","4699330033657237799","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-83B3F0C71E02C107","NULL","1663010100000","1663010400000","NULL","NULL","DT","NULL","NULL","2"
"521","-4975871236228924202","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-59BD4C1566F76813","NULL","1662906480000","1662907260000","NULL","NULL","DT","NULL","NULL","2"
"545","999773125184621332","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-83B3F0C71E02C107","NULL","1662848160000","1662848460000","NULL","NULL","DT","NULL","NULL","2"
"558","-176992981435148536","NULL","CPU_SATURATED","Alert","INFRASTRUCTURE","RESOURCE_CONTENTION","CLOSED","HOST-5BF348A8D09E2757","NULL","1668060171000","1668080219000","NULL","NULL","DT","NULL","NULL","2"
"559","-6418473925146834606","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-83B3F0C71E02C107","NULL","1662765960000","1662766260000","NULL","NULL","DT","NULL","NULL","2"
"560","-2209246862848352453","NULL","CONNECTION_LOST","Alert","INFRASTRUCTURE","AVAILABILITY","CLOSED","HOST-3C12499C638B290B","NULL","1662700709799.000000","1662701045661.000000","NULL","NULL","DT","NULL","NULL","2"
"562","-5049770221706234500","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-83B3F0C71E02C107","NULL","1662362700000","1662363060000","NULL","NULL","DT","NULL","NULL","2"
"563","-3361256759517050046","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-83B3F0C71E02C107","NULL","1662305100000","1662305400000","NULL","NULL","DT","NULL","NULL","2"
"591","8322099843123327030","NULL","HIGH_CONNECTIVITY_FAILURES","Alert","INFRASTRUCTURE","ERROR","CLOSED","PROCESS_GROUP_INSTANCE-83B3F0C71E02C107","NULL","1662130740000","1662130980000","NULL","NULL","DT","NULL","NULL","2"
"629","13886755","NULL","Essedum-Kafka-alert","Issue","APPLICATION","CRITICAL","RESOLVED","AD-Air-Leap","NULL","1671865015005","1671865815005","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=13886755&application=5811","NULL","2"
"630","13929274","NULL","Auth Node Failure","Issue","APPLICATION_COMPONENT","CRITICAL","RESOLVED","auth-services","NULL","1665114535007.000000","1665114595000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=13929274&application=5811","NULL","2"
"3421","5812039","NULL","CPU utilization is too high","Issue","APPLICATION_COMPONENT_NODE","CRITICAL","CANCELLED","web-api--3","NULL","1672371883003","1672517121232","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5812039&application=5811","NULL","2"
"3422","5812043","NULL","CPU utilization is too high","Issue","APPLICATION_COMPONENT_NODE","CRITICAL","CANCELLED","auth-services--5","NULL","1672371883003","1672517121232","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5812043&application=5811","NULL","2"
"3423","5814122","NULL","CPU utilization is too high","Issue","APPLICATION_COMPONENT_NODE","CRITICAL","RESOLVED","flight-services--2","NULL","1657330555000","1657467475000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5814122&application=5811","NULL","2"
"3424","5841682","NULL","Kafka Node Failure","Issue","APPLICATION_COMPONENT","CRITICAL","RESOLVED","kafka","NULL","1657401900971.000000","1657462795000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5841682&application=5811","NULL","2"
"3425","5848810","NULL","CPU utilization is too high","Issue","APPLICATION_COMPONENT_NODE","CRITICAL","CANCELLED","api-services--6","NULL","1657411805272.000000","1657470993232.000000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5848810&application=5811","NULL","2"
"3426","5857794","NULL","CPU utilization is too high","Issue","APPLICATION_COMPONENT_NODE","CRITICAL","RESOLVED","api-services--1","NULL","1657431914278.000000","1657432915317.000000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5857794&application=5811","NULL","2"
"3427","5857983","NULL","CPU utilization is too high","Issue","APPLICATION_COMPONENT_NODE","CRITICAL","RESOLVED","customer-services--5","NULL","1657432375016.000000","1657432435002.000000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5857983&application=5811","NULL","2"
"3494","5869396","NULL","Kafka Node Failure","Issue","APPLICATION_COMPONENT","CRITICAL","RESOLVED","kafka","NULL","1657462855014.000000","1657463035000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5869396&application=5811","NULL","2"
"3498","5869508","NULL","Kafka Node Failure","Issue","APPLICATION_COMPONENT","CRITICAL","RESOLVED","kafka","NULL","1657463095000","1657463275000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5869508&application=5811","NULL","2"
"3503","5869574","NULL","Kafka Node Failure","Issue","APPLICATION_COMPONENT","CRITICAL","RESOLVED","kafka","NULL","1657463335001.000000","1657463635000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5869574&application=5811","NULL","2"
"3505","5869674","NULL","Kafka Node Failure","Issue","APPLICATION_COMPONENT","CRITICAL","RESOLVED","kafka","NULL","1657463695000","1657463995000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5869674&application=5811","NULL","2"
"3510","5869806","NULL","Kafka Node Failure","Issue","APPLICATION_COMPONENT","CRITICAL","RESOLVED","kafka","NULL","1657464055015.000000","1657464355000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5869806&application=5811","NULL","2"
"3511","5869921","NULL","Kafka Node Failure","Issue","APPLICATION_COMPONENT","CRITICAL","RESOLVED","kafka","NULL","1657464415009.000000","1657465406176.000000","NULL","NULL","AppD","https://essedum-pov.saas.appdynamics.com/#location=APP_INCIDENT_DETAIL_MODAL&incident=5869921&application=5811","NULL","2"
