"attributes","dataset_type","description","exp_status","name","organization","schemajson","type","backing_dataset","dataset_schema","datasource","lastmodifiedby","lastmodifieddate","alias","context","is_approval_required","is_permission_managed","is_inbox_required","is_audit_required","is_archival_enabled","archival_config","dashboard","metadata","modeltype","views","taskdetails","tags","interfacetype","adaptername","isadapteractive","indexname","summary","event_details"
"{""filter"":"""",""mode"":""query"",""Query"":""SELECT CONCAT('',b1.project_id,b1.job_name) jobId,CONCAT('',b2.project_id,b2.running_job_instance_id) jobInstanceId ,CONCAT (b1.job_name, b2.running_job_instance_id) AS uniqueId  FROM bjm_job b1 ,bjm_job_instance b2 WHERE b1.job_name=b2.job_name"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}","NULL","Job Instance Details","2","LEOJBJBN68268","leo1311","NULL","r","NULL","LEOJBTNS50961","leapmaster","admin","2024-08-16T10:28:44.781894","jobjobinstancemapping","NULL","false","false","false","false","NULL","NULL","NULL","NULL","NULL","Table View","[]","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"{""filter"":"""",""mode"":""query"",""Query"":""SELECT CONCAT('',b1.project_id,b1.job_instance_group_name) groupId,CONCAT('',b1.project_id,b2.running_job_instance_id) jobInstanceId ,CONCAT (b1.job_instance_group_name, b2.running_job_instance_id) AS uniqueId  FROM bjm_job_instance_group b1 , bjm_job_instance b2 WHERE b1.job_instance_group_name=b2.group_name"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}","NULL","groupinstancemapping","2","LEOGRPNS43781","leo1311","NULL","r","NULL","LEOINSTN34299","leapmaster","admin","2024-08-16T10:31:29.599189","groupinstancemapping","NULL","false","false","false","false","NULL","NULL","NULL","NULL","NULL","Table View","[]","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
