"id","chart_type","description","context"
"54","Gantt Chart","NULL","NULL"
"55","bubble chart","NULL","NULL"
"56","boxplot","NULL","NULL"
"57","customsolidgauge","NULL","NULL"
"58","threshold-column","NULL","NULL"
