"id","description","name","phase_id"
"1","For Managing Questionnaire Attachments.","Questionnaire Management","1"
"2","Incident Management ccl_process minimizes the adverse impact on business operations by restoring normal service operation as quickly as possible. It ensures that the agreed levels of service quality and availability are maintained.","Incident Management","1"
