Schedule_ID,Schedule_Name,Rec_Act_Ind,Last_Updated_Dts,Rec_Created_Dts,Schedule_Start_Dts,Schedule_End_Dts,Schedule_Pattern,Schedule_Recurrence_Ind,Schedule_On_Every,Schedule_Instance,Schedule_Time,Last_Updated_By,Weekly_Data,Recur_Every,On_Weekend,Monthly_Schedule_Date,Yearly_Schedule_Date,UserID,RoleID,portfolioId
1,RUN IMMEDIATELY,TRUE,2019-03-15T17:56:20,2019-03-15T17:56:20,2019-03-15T17:56:20,2019-03-15T17:56:20,OneTime,TRUE,,,16:00:00,1,NULL,NULL,FALSE,NULL,NULL,,,
2,run_2min,TRUE,2021-05-25T20:54:28,2021-05-25T20:54:28,2021-05-25T05:30:00,2021-07-25T05:30:00,DAILY,TRUE,2,Minutes,20:55:00,1,sunday,1,FALSE,NULL,NULL,,,
