"OS_Type_ID","OS_Name","Rec_Active_Ind","Last_Updated_Dts","Last_Updated_By"
"1","WINDOWS","true","2019-04-14T17:56:20","1"
"2","LINUX","true","2019-04-14T17:56:20","1"
