"body","description","eventname","jobdetails","organization","interfacetype"
NULL,NULL,"createIncident","[{\"name\":\"SNOW_Create_API\",\"type\":\"pipeline\"}]","leo1311","NULL"
NULL,NULL,"updateIncident","[{\"name\":\"SNOW_Update_API\",\"type\":\"pipeline\"}]","leo1311","NULL"
NULL,NULL,"refreshTickets","[{\"name\":\"SNOW_Get_API\",\"type\":\"pipeline\"}]","leo1311","NULL"
NULL,NULL,"ticketAIO","[{\"name\":\"DataEnrichment\",\"type\":\"chain\"}]","leo1311","NULL"
NULL,NULL,"VolumeForecasting","[{\"name\":\"Forecast\",\"type\":\"pipeline\"}]","leo1311","NULL"
NULL,NULL,"GenericWorkflowResolver","[{\"name\":\"GenericWorkflowResolver\",\"type\":\"pipeline\"}]","leo1311","NULL"
"{}","NULL","Closure_suppressed_alerts_ce","leo1311","[{\"name\":\"LEOCLSR_30823\",\"type\":\"pipeline\",\"runtime\":{\"dsAlias\":\"LocalCluster\",\"dsName\":\"LEALCLCL12132\",\"type\":\"REMOTE\"}}]","NULL"
"{}","NULL","alert_publisher_emf","leo1311","[{\"name\":\"LEOALRT_45377\",\"type\":\"pipeline\",\"runtime\":{\"dsAlias\":\"LocalCluster\",\"dsName\":\"LEALCLCL12132\",\"type\":\"REMOTE\"}}]","NULL"
"{}","NULL","manual_resolution","leo1311","[{\"name\":\"LEOMNL_R68866\",\"type\":\"pipeline\",\"runtime\":{\"dsAlias\":\"LocalCluster\",\"dsName\":\"LEALCLCL12132\",\"type\":\"REMOTE\"}}]","NULL"
"{}","NULL","AnomalyDetectionAndThresholdCheck","leo1311","[{\"name\":\"LEOANMLY29579\",\"type\":\"pipeline\",\"runtime\":{\"dsAlias\":\"LocalCluster\",\"dsName\":\"LEALCLCL12132\",\"type\":\"REMOTE\"}}]","NULL"
"{}","NULL","Resolution","leo1311","[{\"name\":\"LEORSLTN43548\",\"type\":\"pipeline\",\"runtime\":{\"dsAlias\":\"LocalCluster\",\"dsName\":\"LEALCLCL12132\",\"type\":\"REMOTE\"}}]","NULL"
"{}","NULL","ItsmAssignment","leo1311","[{\"name\":\"LEOITSMS50720\",\"type\":\"pipeline\",\"runtime\":{\"dsAlias\":\"LocalCluster\",\"dsName\":\"LEALCLCL12132\",\"type\":\"REMOTE\"}}]","NULL"
"{}","NULL","ItsmResolution","leo1311","[{\"name\":\"LEOITSMR86704\",\"type\":\"pipeline\",\"runtime\":{\"dsAlias\":\"LocalCluster\",\"dsName\":\"LEALCLCL12132\",\"type\":\"REMOTE\"}}]","NULL"
"{}","NULL","Correlation","leo1311","[{\"name\":\"LEOCRLTN95907\",\"type\":\"pipeline\",\"runtime\":{\"dsAlias\":\"LocalCluster\",\"dsName\":\"LEALCLCL12132\",\"type\":\"REMOTE\"}}]","NULL"
"{}","NULL","DeduplicationAndItsmCreation","leo1311","[{\"name\":\"LEODDPLC47298\",\"type\":\"pipeline\",\"runtime\":{\"dsAlias\":\"LocalCluster\",\"dsName\":\"LEALCLCL12132\",\"type\":\"REMOTE\"}}]","NULL"
"{}","Actionable pipeline for event correlation and deduplication","ActionablepipelineEvent","leo1311","[{\"name\":\"LEOACTNB43073\",\"type\":\"pipeline\",\"runtime\":{\"dsAlias\":\"LocalCluster\",\"dsName\":\"LEALCLCL12132\",\"type\":\"REMOTE\"}}]","NULL"
