"id","action_name","action_type","script_code","headers","result_param","restapi_param_type","restapi_method","url","body"
"2","Generate requirement specification","Prompt","NULL","NULL","requirement_spec","NULL","post","http://cvrictlptm25:8299/api/generate/requirements_spec","{\"input\":\"{{requirement_text}}\"}"
"3","Generate product features","Prompt","NULL","NULL","product_features","NULL","post","http://cvrictlptm25:8299/api/generate/product_features","{\"input\":\"{{requirement_spec}}\"}"
"4","Generate product code","Prompt","NULL","NULL","code","NULL","post","http://cvrictlptm25:8299/api/generate/code","{\"input\":\"{{product_features}}\",\"technology\": \"{{technology}}\"}"
"5","Generate product code documentation/summary","Prompt","NULL","NULL","code_summary","NULL","post","http://cvrictlptm25:8299/api/generate/code_summary","{\"input\":\"{{code}}\"}"
"6","Generate unit test cases","Prompt","NULL","NULL","unit_tests","NULL","post","http://cvrictlptm25:8299/api/generate/unit_tests","{\"input\":\"{{code}}\"}"
"7","Generate functional test cases","Prompt","NULL","NULL","functional_test_scenarios","NULL","post","http://cvrictlptm25:8299/api/generate/functional_test_scenarios","{\"input\":\"{{product_features}}\"}"
"12","Get related CI info","REST api","NULL","NULL","ci-info","NULL","post","http://cvrictlptm25:8299/api/get_cmdb_data","{\"ci\":\"{{ciInfoInputCi}}\",\"ci_type\":\"{{ciInfoInputCIType}}\"}"
"13","Query each CI for health metric","REST api","NULL","NULL","ci-health","NULL","post","http://cvrictlptm25:8299/api/check_health_metric","{\"input\":{{ciInfoOutput}}}"
"14","Validate health metric","REST api","NULL","NULL","ci-validate-health","NULL","post","http://cvrictlptm25:8299/api/validate_health_metric","{\"input\":{{ciHealthOutput}}}"
"15","Suggest bot to resolve the issue","REST api","NULL","NULL","suggested-bot","NULL","post","http://cvrictlptm25:8299/api/suggest_bot","{\"message\":{{ciValidateHealthOutput}}}"
"16","Trigger metric issue resolver bot for that CI","REST api","NULL","NULL","execute-bot-result","NULL","post","http://cvrictlptm25:8299/api/execute_bot","{\"bot\":{{suggestBotOutput}},\"payload\":{{ciValidateHealthOutput}}}"
"17","Predict Category","REST api","NULL","{\"Project\": 2, \"Content-Type\": \"application/json\", \"access-token\": \"87954e4b-822a-4ae4-a5f5-94c35d3ab550\"}","ticketCategory","query","post","http://VICTLPTST-60:8299/api/incidentCategorization","{\"query\": {{{ticketDetails}}}}"
"19","Map to assignment group","REST api","NULL","NULL","assignmentGroup","NULL","post","http://VICTLPTST-60:8299/api/mapToAssignmentGroup","{\"query\":{\"incedentId\":\"INC-123\"}}"
"20","Ticket Assignment","REST api","NULL","NULL","ticketAssignment","NULL","post","http://VICTLPTST-60:8299/api/assigningTicket","{\"query\":{\"incedentId\":\"INC-123\"}}"
"21","Recommend SOP","REST api","NULL","NULL","recommendedSOP","NULL","post","http://VICTLPTST-60:8299/api/recommendSop","{\"query\":{\"incedentId\":\"INC-123\"}}"
"22","Get Similar Tickets","REST api","NULL","NULL","similarTickets","NULL","post","http://VICTLPTST-60:8299/api/recommendSimilarTickets","{\"query\":{\"incedentId\":\"INC-123\"}}"
"23","Update Ticket","REST api","NULL","NULL","ticketUpdated","NULL","post","http://VICTLPTST-60:8299/api/updateTicket","{
    \"query\": {
        \"assignmentgroup\": \"{{assignmentGroup}}\",
        \"assignedto\": \"{{ticketAssignment}}\",
        \"category\": \"{{ticketCategory}}\"
    }
}"
"24","Trigger Automation","REST api","NULL","NULL","automationTriggered","NULL","post","http://VICTLPTST-60:8299/api/triggerAutomation","{\"query\":{\"incedentId\":\"INC-123\"}}"
"25","Check Assignee Is Bot","REST api","NULL","NULL","checkAssigneeIsBot","NULL","post","http://VICTLPTST-60:8299/api/checkAssigneeIsBot","{\"query\":{\"incedentId\":\"INC-123\"}}"
"26","Predict Category mock2","REST api","NULL","NULL","ticketCategory","query","post","http://10.81.64.223:4000/incidentCategorization","NULL"
"27","Predict Category mock","REST api","NULL","{}","ticketCategory","NULL","post","http://VICTLPTST-60:8299/api/incidentCategorization","{\"query\":{\"incedentId\":\"INC-123\"}}"
"29","Resolve Ticket","REST api","NULL","{}","resolution","query","post","http://victlptst-42:5000/api/workflow/resolve_ticket","{\"ticketId\" : \"{{ticketId}}\"}"
