"id","project_id","created_by","created_on","is_deleted","modified_by","modified_on","palette_name","organisation"
"3733","2","system","2021-07-08","false","NULL","NULL","purple","NULL"
"3734","2","system","2021-06-10","false","system","2021-07-08","Issue Pie Gradient","NULL"
"3735","2","system","2021-06-10","false","system","2021-07-08","Pie Gradient","NULL"
"3736","2","system","2021-06-07","false","system","2021-07-11","Status","NULL"
