"body","description","eventname","jobdetails","organization"
"{}",NULL,"TechClassify","[{\"name\":\"LEOTCHCL17048\",\"type\":\"pipeline\"}]","leo1311"
"{}",NULL,"RosterTransform","[{\"name\":\"LEORSTRT74119\",\"type\":\"pipeline\"}]","leo1311"
"{}",NULL,"NextShiftAssign","[{\"name\":\"LEONXTSH71215\",\"type\":\"pipeline\"}]","leo1311"
"{}",NULL,"TicketsAssignment","[{\"name\":\"LEOTCKTS56442\",\"type\":\"pipeline\"}]","leo1311"
