"Workflow_Type_ID","Workflow_Type_Name","Rec_Act_Ind","Last_Updated_Dts","Rec_Created_Dts","Last_Updated_By"
"1","STANDARD","true","2019-04-14T17:56:20","2019-04-14T17:56:20","1"
"2","EXTRACTER","true","2019-04-14T17:56:20","2019-04-14T17:56:20","1"
"3","CLASSIFIER","true","2019-04-14T17:56:20","2019-04-14T17:56:20","1"
"4","RESOLVER","true","2019-04-14T17:56:20","2019-04-14T17:56:20","1"
