"OS_Architecture_ID","OS_Architecture_Name","Rec_Act_Ind","Last_Updated_Dts","Last_Updated_By"
"1","x64","true","2019-04-14T17:56:20","1"
"2","x32","true","2019-04-14T17:56:20","1"
