"Application_ID","Application_Name","Rec_Act_Ind","Last_Updated_Dts","Rec_Created_Dts","Last_Updated_By","TicketSeedValue","IsClustered"
"1","Default App","true","2020-04-14T16:17:39","2020-04-14T16:17:39","1","NULL","NULL"
"2","leo1311","true","2020-04-14T16:17:39","2020-04-14T16:17:39","1","NULL","NULL"
