"body","description","eventname","jobdetails","organization"
"{}",NULL,"CleanTickets","[{\"name\":\"ACMCLNTC99308\",\"type\":\"pipeline\"}]","leo1311"
"{}",NULL,"ExtractWords","[{\"name\":\"LEOINVRT15668\",\"type\":\"pipeline\"}]","leo1311"
"{}",NULL,"StopWords","[{\"name\":\"LEOSWHYY53518\",\"type\":\"pipeline\"}]","leo1311"
"{}",NULL,"PhraseExtraction","[{\"name\":\"ACMPHRSX57460\",\"type\":\"pipeline\"}]","leo1311"
"{}",NULL,"Keyphrase","[{\"name\":\"ACMKYPHR40814\",\"type\":\"pipeline\"}]","leo1311"
"{}",NULL,"TicketClustering","[{\"name\":\"TicketClustering\",\"type\":\"chain\"}]","leo1311"
"{}","NULL","KeyPhraseToEnriched","[{\"name\":\"LEOPHRST70990\",\"type\":\"pipeline\"}]","leo1311"
